Subway,,,,,,,
製表日期：,2025/12/13,,,,,,[VENUSTW_G18]
,發票編號：,VM14254283 ～ VM14254283,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0046,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,12:24:43
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,12:24:43
,合計,,2,0,184,,
,,,,,,,
,TOTAL,,,,184,信用卡付款,
,發票編號：,VM14254284 ～ VM14254284,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0047,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,12:26:50
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:26:50
,合計,,2,0,160,,
,,,,,,,
,TOTAL,,,,160,Line Pay付款,
,發票編號：,VM14254285 ～ VM14254285,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0048,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030103,厚切嫩牛烤餅6吋,1,0,159,AP 單品入帳,12:37:14
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,12:37:14
3,A0706,F套餐,1,0,85,AP 單品入帳,12:37:14
,合計,,3,0,279,,
,,,,,,,
,TOTAL,,,,279,Line Pay付款,
,發票編號：,VM14254286 ～ VM14254286,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0049,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,12:52:32
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,12:52:32
3,A0815,餅乾3片,1,0,60,AP 單品入帳,12:52:32
,合計,,3,0,244,,
,,,,,,,
,TOTAL,,,,244,Line Pay付款,
,發票編號：,VM14254287 ～ VM14254287,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0050,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A082701,蘑菇濃湯,1,0,69,AP 單品入帳,12:56:01
,合計,,1,0,69,,
,,,,,,,
,TOTAL,,,,69,Line Pay付款,
,發票編號：,VM14254288 ～ VM14254288,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0051,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,13:04:22
2,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,13:04:22
3,A0703,C套餐,1,0,67,AP 單品入帳,13:04:22
,合計,,3,0,284,,
,,,,,,,
,TOTAL,,,,284,現金付款,
,發票編號：,VM14254289 ～ VM14254289,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0052,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,13:11:52
2,A060401,酪梨泥一球,1,0,45,AP 單品入帳,13:11:52
3,A0704,D套餐,1,0,78,AP 單品入帳,13:11:52
,合計,,3,0,248,,
,,,,,,,
,TOTAL,,,,248,Line Pay付款,
,發票編號：,VM14254290 ～ VM14254290,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0053,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020501,鮮嫩雞柳堡6吋,1,0,125,AP 單品入帳,13:15:43
,合計,,1,0,125,,
,,,,,,,
,TOTAL,,,,125,信用卡付款,
,發票編號：,VM14254291 ～ VM14254291,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0055,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030402,墨西哥辣牛堡12吋,1,0,207,AP 單品入帳,13:24:35
,合計,,1,0,207,,
,,,,,,,
,TOTAL,,,,207,現金付款,
,發票編號：,VM14254292 ～ VM14254292,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0056,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A0815,餅乾3片,1,0,60,AP 單品入帳,13:32:51
4,A0815,餅乾3片,1,0,60,AP 單品入帳,13:32:51
,合計,,2,0,120,,
,,,,,,,
,TOTAL,,,,120,現金付款,
,發票編號：,VM14254293 ～ VM14254293,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0057,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:44:49
2,A0701,A套餐,1,0,48,AP 單品入帳,13:44:49
,合計,,2,0,197,,
,,,,,,,
,TOTAL,,,,197,信用卡付款,
,發票編號：,VM14254294 ～ VM14254294,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0058,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,13:46:23
2,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:46:23
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,13:46:23
4,A0703,C套餐,1,0,55,AP 單品入帳,13:46:23
7,A081701,薯片,1,0,25,AP 單品入帳,13:46:23
,合計,,5,0,374,,
,,,,,,,
,TOTAL,,,,374,現金付款,
,發票編號：,VM14254295 ～ VM14254295,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0059,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,13:58:22
2,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,13:58:22
,合計,,2,0,278,,
,,,,,,,
,TOTAL,,,,278,現金付款,
,發票編號：,VM14254296 ～ VM14254296,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0060,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,13:59:12
2,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,13:59:12
3,A0701,A套餐,1,0,48,AP 單品入帳,13:59:12
,合計,,3,0,316,,
,,,,,,,
,TOTAL,,,,316,Line Pay付款,
,發票編號：,VM14254297 ～ VM14254297,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0062,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,14:01:09
2,A0701,A套餐,1,0,48,AP 單品入帳,14:01:09
,合計,,2,0,158,,
,,,,,,,
,TOTAL,,,,158,Line Pay付款,
,發票編號：,VM14254298 ～ VM14254298,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0063,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020502,鮮嫩雞柳堡12吋,1,0,225,AP 單品入帳,14:07:11
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,信用卡付款,
,發票編號：,VM14254299 ～ VM14254299,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0064,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,14:13:25
,合計,,1,0,115,,
,,,,,,,
,TOTAL,,,,115,現金付款,
,發票編號：,VM14254300 ～ VM14254300,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0065,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A172803,辣豆瓣嫩牛12吋,1,0,286,AP 單品入帳,14:24:19
2,A0704,D套餐,1,0,78,AP 單品入帳,14:24:19
6,A093001,588ml鹼性離子水,1,0,30,AP 單品入帳,14:24:19
,合計,,3,0,394,,
,,,,,,,
,TOTAL,,,,394,信用卡付款,
,發票編號：,VM14254301 ～ VM14254301,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0066,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B213,義大利經典,1,0,217,AP 單品入帳,14:32:31
5,B224,外送單點,1,0,30,AP 單品入帳,14:32:31
7,B224,外送單點,1,0,30,AP 單品入帳,14:32:31
,合計,,3,0,277,,
,,,,,,,
,TOTAL,,,,277,FoodPanda付款,
,發票編號：,VM14254302 ～ VM14254302,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0068,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A040201,鮪魚堡6吋,1,0,125,AP 單品入帳,14:33:41
2,A0707,G套餐,1,0,70,AP 單品入帳,14:33:41
,合計,,2,0,195,,
,,,,,,,
,TOTAL,,,,195,信用卡付款,
,發票編號：,VM14254303 ～ VM14254303,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0069,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A081701,薯片,8,0,200,AP 單品入帳,14:40:35
,合計,,8,0,200,,
,,,,,,,
,TOTAL,,,,200,現金付款,
,發票編號：,VM14254304 ～ VM14254304,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0071,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
2,A020503,鮮嫩雞柳烤餅6吋,1,0,135,AP 單品入帳,14:40:54
3,A0815,餅乾3片,1,0,60,AP 單品入帳,14:40:54
6,A0814,餅乾1片,1,0,25,AP 單品入帳,14:40:54
,合計,,3,0,220,,
,,,,,,,
,TOTAL,,,,220,現金付款,
,發票編號：,VM14254305 ～ VM14254305,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0072,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030401,墨西哥辣牛堡6吋,1,0,115,AP 單品入帳,14:43:19
2,A030301,義大利牛肉丸堡6吋,1,0,129,AP 單品入帳,14:43:19
,合計,,2,0,244,,
,,,,,,,
,TOTAL,,,,244,信用卡付款,
,發票編號：,VM14254306 ～ VM14254306,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0073,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020602,嫩切雞肉堡12吋,1,198,0,AP 單品入帳,15:08:52
2,A082001,BLT捲餅,1,94,0,AP 單品入帳,15:08:52
3,A080201,嫩雞沙拉捲餅,1,102,0,AP 單品入帳,15:08:52
4,A030101,厚切嫩牛堡6吋,1,149,0,AP 單品入帳,15:08:52
5,A050801,素食蔬菜堡6吋,1,89,0,AP 單品入帳,15:08:52
6,A020601,嫩切雞肉堡6吋,1,110,0,AP 單品入帳,15:08:52
7,A030101,厚切嫩牛堡6吋,1,149,0,AP 單品入帳,15:08:52
8,A060601,嫩煎蛋一片,2,70,0,AP 單品入帳,15:08:52
10,SW360003,熱帶水果汁飲料,1,45,0,AP 單品入帳,15:08:52
11,SW360033,蜜桃果茶,1,45,0,AP 單品入帳,15:08:52
12,SW361003,樹頂100%蘋果汁玻璃瓶,1,45,0,AP 單品入帳,15:08:52
,合計,,12,1096,0,,
,,,,,,,
,TOTAL,,,,0,,
,發票編號：,00000000 ～ 00000000,交易種類 ：,◎一般入帳◎,,客戶編號：,2101130002員工餐0元
,交易日期：,2025/12/03,序 號：,0076,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,15:13:30
2,A0702,B套餐,1,0,65,AP 單品入帳,15:13:30
,合計,,2,0,193,,
,,,,,,,
,TOTAL,,,,193,現金付款,
,發票編號：,VM14254307 ～ VM14254307,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0077,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,15:25:53
2,A020401,照燒雞肉堡6吋,1,0,128,AP 單品入帳,15:25:53
3,A0701,A套餐,1,0,48,AP 單品入帳,15:25:53
,合計,,3,0,301,,
,,,,,,,
,TOTAL,,,,301,Line Pay付款,
,發票編號：,VM14254308 ～ VM14254308,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0078,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030501,火腿堡6吋,1,0,105,AP 單品入帳,15:29:57
2,A060301,培根1條,1,0,23,AP 單品入帳,15:29:57
,合計,,2,0,128,,
,,,,,,,
,TOTAL,,,,128,現金付款,
,發票編號：,VM14254309 ～ VM14254309,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0079,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,U0209,6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub,1,0,206,AP 單品入帳,15:39:00
,合計,,1,0,206,,
,,,,,,,
,TOTAL,,,,206,UberEats付款,
,發票編號：,VM14254310 ～ VM14254310,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0080,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,B205,墨西哥辣牛,1,0,225,AP 單品入帳,15:49:34
,合計,,1,0,225,,
,,,,,,,
,TOTAL,,,,225,FoodPanda付款,
,發票編號：,VM14254311 ～ VM14254311,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0081,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,16:21:30
2,A0701,A套餐,1,0,53,AP 單品入帳,16:21:30
,合計,,2,0,163,,
,,,,,,,
,TOTAL,,,,163,現金付款,
,發票編號：,VM14254312 ～ VM14254312,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0082,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020601,嫩切雞肉堡6吋,1,0,110,AP 單品入帳,16:42:41
2,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,16:42:41
3,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,16:42:41
4,A0704,D套餐,1,0,78,AP 單品入帳,16:42:41
,合計,,4,0,362,,
,,,,,,,
,TOTAL,,,,362,現金付款,
,發票編號：,VM14254313 ～ VM14254313,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0083,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030201,燒烤牛肉堡6吋,1,0,139,AP 單品入帳,17:01:37
,合計,,1,0,139,,
,,,,,,,
,TOTAL,,,,139,信用卡付款,
,發票編號：,VM14254314 ～ VM14254314,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0085,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020503,鮮嫩雞柳烤餅6吋,1,0,135,AP 單品入帳,17:06:32
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:06:32
3,A060201,蛋沙拉1球,1,0,35,AP 單品入帳,17:06:32
,合計,,3,0,205,,
,,,,,,,
,TOTAL,,,,205,現金付款,
,發票編號：,VM14254315 ～ VM14254315,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0086,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A080201,嫩雞沙拉捲餅,1,0,102,AP 單品入帳,17:11:19
2,A060601,嫩煎蛋一片,1,0,35,AP 單品入帳,17:11:19
3,A0707,G套餐,1,0,65,AP 單品入帳,17:11:19
,合計,,3,0,202,,
,,,,,,,
,TOTAL,,,,202,現金付款,
,發票編號：,VM14254316 ～ VM14254316,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0087,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A020301,香烤雞肉堡6吋,1,0,125,AP 單品入帳,17:13:01
2,A0704,D套餐,1,0,78,AP 單品入帳,17:13:01
,合計,,2,0,203,,
,,,,,,,
,TOTAL,,,,203,現金付款,
,發票編號：,VM14254317 ～ VM14254317,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0088,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
,,,,,,,
序      號,貨      號,品      名,交 易 數 量,折 扣 金 額,交 易 金 額,交 易 種 類,時      間
1,A030101,厚切嫩牛堡6吋,1,0,149,AP 單品入帳,17:14:54
2,A0705,E套餐,1,0,78,AP 單品入帳,17:14:54
,合計,,2,0,227,,
,,,,,,,
,TOTAL,,,,227,現金付款,
,發票編號：,VM14254318 ～ VM14254318,交易種類 ：,◎一般入帳◎,,客戶編號：,
,交易日期：,2025/12/03,序 號：,0089,,統一編號：,
,收 銀 員：,74183,售 貨 員：,,,,
